web-scraper-order,web-scraper-start-url,liens_articles,liens_articles-href,details,nbre_chambre,nbre_salle_de_bain,adresse,prix,image_lien-src,superficie
"1738145003-1","https://www.expat-dakar.com/appartements-a-louer?page=128","Appartements neufs à louer à Diass
                                2 chambre80 m²
                                                                                    Diass,
                                                                                Thiès
                                    
                                        14. janv., 07:38
                                    
                    150 000 F Cfa
                        
                        767832727
                    
                        767832727","https://www.expat-dakar.com/annonce/appartements-neufs-a-louer-a-diass-5438381","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            80 m²","2","2","Diass
            
                Thiès","150 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c424e2b9ea613518a60d8e161b407cf3/-/horizon-files-prod/ed/picture/qj44q05r/52d131550a5293251f8df31fac7977e93c147254.jpg","80 m²"
"1738145005-2","https://www.expat-dakar.com/appartements-a-louer?page=128","F3 A LOUER AUX ALMADIES
                                2 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        6. janv., 13:39
                                    
                    350 000 F Cfa
                        
                        784507474","https://www.expat-dakar.com/annonce/f3-a-louer-aux-almadies-5581378","Chambres
        
                            2
                    
            Salle de Bain
        
                            2","2","2","Almadies
            
                Dakar","350 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a2f6b01ff121ad2a01974850eb1042ff/-/horizon-files-prod/ed/picture/qm552pem/13d8d858712a68b8e6712d3edd8cbb70bf6b6cd7.jpg",""
"1738145007-3","https://www.expat-dakar.com/appartements-a-louer?page=128","De bels apparts à louer aux Almadies
                                3 chambre
                                                                                    VDN,
                                                                                Dakar
                                    
                                        7. déc. '24, 21:43
                                    
                    350 000 F Cfa
                        
                        766047878
                    
                        776560203","https://www.expat-dakar.com/annonce/de-bels-apparts-a-louer-aux-almadies-2737513","Chambres
        
                            3
                    
            Salle de Bain
        
                            4","3","4","VDN
            
                Dakar","350 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5dfd22c574dc224c7cdcd1794b249781/-/horizon-files-prod/ed/picture/qg0rg58/374848822169bc1a60272edf6f9307b795e788b6.jpg",""
"1738145010-4","https://www.expat-dakar.com/appartements-a-louer?page=128","UN TRÈS BEAU F4 AUX ALMADIES
                                3 chambre200 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        17. nov. '24, 23:03
                                    
                    1 500 000 F Cfa
                        
                        781510606
                    
                        763719494","https://www.expat-dakar.com/annonce/un-tres-beau-f4-aux-almadies-5536890","Chambres
        
                            3
                    
            Mètres carrés
        
                            200 m²","3","","Almadies
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/129b11df903738643be8174b648235ee/-/horizon-files-prod/ed/picture/qv440n88/65cc84fdc26ebe293ccbb661ab7d2d158fc0aa83.jpg","200 m²"
"1738145012-5","https://www.expat-dakar.com/appartements-a-louer?page=128","F4 à Louer a Hann MARINAS
                                3 chambre
                                                                                    Hann marinas,
                                                                                Dakar
                                    
                                        6. janv., 13:34
                                    
                    450 000 F Cfa
                        
                        784507474","https://www.expat-dakar.com/annonce/f4-a-louer-a-hann-marinas-5670464","Chambres
        
                            3
                    
            Salle de Bain
        
                            3","3","3","Hann marinas
            
                Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b224d25f20a4c5e93742425e304d5312/-/horizon-files-prod/ed/picture/qen5v74x/c1911e87eeb10658246d19019d9242946fdbb6ab.jpg",""
"1738145014-6","https://www.expat-dakar.com/appartements-a-louer?page=128","Magasin a louer aux Mamelles
                                1 chambre
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        2. janv., 11:54
                                    
                    150 000 F Cfa
                        
                        784507474","https://www.expat-dakar.com/annonce/magasin-a-louer-aux-mamelles-5536443","Chambres
        
                            1
                    
            Salle de Bain
        
                            1","1","1","Mamelles
            
                Dakar","150 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/30d4d0a09830ef563e1b73c8736c6517/-/horizon-files-prod/ed/picture/qzvvq776/d6c22d037af0099c8881bed123f224ddf0b4a4a2.jpg",""
"1738145017-7","https://www.expat-dakar.com/appartements-a-louer?page=128","F2 MEUBLE A LOUER AUX MAMELLES
                                1 chambre
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        6. janv., 13:28
                                    
                    450 000 F Cfa
                        
                        784507474","https://www.expat-dakar.com/annonce/f2-meuble-a-louer-aux-mamelles-5536525","Chambres
        
                            1
                    
            Salle de Bain
        
                            2","1","2","Mamelles
            
                Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/98033d965a1a32c55cbb748a8e7e5434/-/horizon-files-prod/ed/picture/q0ggxm2k/5cbe6eb8849b19aa246b810afb3397419efeea15.jpg",""
"1738145019-8","https://www.expat-dakar.com/appartements-a-louer?page=128","Bel et Spacieux Appartement F5 Fann Résidence
                                4 chambre250 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        vendredi, 13:00
                                    
                    3 250 000 F Cfa
                        
                        772293834
                    
                        769023031","https://www.expat-dakar.com/annonce/bel-et-spacieux-appartement-f5-fann-residence-5649678","Chambres
        
                            4
                    
            Mètres carrés
        
                            250 m²","4","","Fann
            
                Dakar","3 250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/615dbe928a88531aaa8e25b6b901c8a1/-/horizon-files-prod/ed/picture/qm5rr9x9/0a18aacea8d2b82973067982c66396b4c8bd857b.jpg","250 m²"
"1738145022-9","https://www.expat-dakar.com/appartements-a-louer?page=128","Des apts de 04 ch salon à louer à fann residence
                                4 chambre300 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        12. janv., 12:46
                                    
                    3 500 000 F Cfa
                        
                        784879963","https://www.expat-dakar.com/annonce/des-apts-de-04-ch-salon-a-louer-a-fann-residence-5083598","Chambres
        
                            4
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            300 m²","4","5","Fann
            
                Dakar","3 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3d7cc08b5e3ebb5048bd2c1cfd4bee0a/-/horizon-files-prod/ed/picture/qrdw7nm/ec5deb0e4fb298e83477d378a2142394443b0761.jpg","300 m²"
"1738145024-10","https://www.expat-dakar.com/appartements-a-louer?page=128","VIP
    
                                    Location Appartement Haut Standing à Saly
                                2 chambre87 m²
                                                                                    Saly Portudal,
                                                                                Thiès
                                    
                                        10. déc. '24, 16:01
                                    
                    320 000 F Cfa
                        
                        781843940","https://www.expat-dakar.com/annonce/location-appartement-haut-standing-a-saly-5906726","Chambres
        
                            2
                    
            Mètres carrés
        
                            87 m²","2","","Saly Portudal
            
                Thiès","320 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/afaefe8540064316c32c866848a0594c/-/horizon-files-prod/ed/picture/q9m9jz46/edd958675ab0ff6bf72a7bdfe3901e40c34555c7.jpg","87 m²"
"1738145029-11","https://www.expat-dakar.com/appartements-a-louer?page=127","Très beau studio F2
                                1 chambre60 m²
                                                                                    Ngor,
                                                                                Dakar
                                    
                                        17. nov. '24, 23:08
                                    
                    900 000 F Cfa
                        
                        781510606
                    
                        763719494","https://www.expat-dakar.com/annonce/tres-beau-studio-f2-5905112","Chambres
        
                            1
                    
            Mètres carrés
        
                            60 m²","1","","Ngor
            
                Dakar","900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d56c0384c52d9cae091e1ec7cdd8b966/-/horizon-files-prod/ed/picture/qm5pg9qg/8e7f9dd586c8588bb02602a6b31a396a1cb20d94.jpg","60 m²"
"1738145032-12","https://www.expat-dakar.com/appartements-a-louer?page=127","Apparemment almadies 4 chambre
                                4 chambre280 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        13. janv., 17:00
                                    
                    2 500 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apparemment-almadies-4-chambre-5757473","Chambres
        
                            4
                    
            Salle de Bain
        
                            5
                    
            Mètres carrés
        
                            280 m²","4","5","Almadies
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ffd64906903fa2e25e38accb2bf0e127/-/horizon-files-prod/ed/picture/qq4d8nkw/ca10c981b1907e951236157c29cab0ef20edd562.jpg","280 m²"
"1738145034-13","https://www.expat-dakar.com/appartements-a-louer?page=127","Appartement à louer aux almadies
                                3 chambre150 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        10. déc. '24, 09:21
                                    
                    750 000 F Cfa
                        
                        779492582
                    
                        781701640","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-almadies-5847594","Chambres
        
                            3
                    
            Salle de Bain
        
                            4
                    
            Mètres carrés
        
                            150 m²","3","4","Almadies
            
                Dakar","750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bc12a1a920045dba380822eb4d69af9d/-/horizon-files-prod/ed/picture/qwezq276/5308683192a108e5a02a4647ecd12dc9a2247282.jpg","150 m²"
"1738145036-14","https://www.expat-dakar.com/appartements-a-louer?page=127","Penthouss a loué corniche fann Residences
                                3 chambre200 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        7. janv., 23:27
                                    
                    3 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/penthouss-a-loue-corniche-fann-residences-5864039","Chambres
        
                            3
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            200 m²","3","3","Fann
            
                Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/427bd3d4a8b94cc69654d736567ece52/-/horizon-files-prod/ed/picture/q2jqzv6k/a73b90334c47c3d3922e49899d25be11ef5ad579.jpg","200 m²"
