web-scraper-order,web-scraper-start-url,articles_link,articles_link-href,details,nombre_chambre,nbre_salle_de_bain,superfécie,adresse,prix,image_lien-src
"1738156548-1","https://www.expat-dakar.com/appartements-meubles?page=80","Appartements meublés à Thiès
                                2 chambre250 m²
                                                                                    Thiès,
                                                                                Thiès
                                    
                                        28. nov. '24, 11:32
                                    
                    35 000 F Cfa
                        
                        781159213
                    
                        781159213
                    
                        789273555","https://www.expat-dakar.com/annonce/appartements-meubles-a-thies-3613453","Chambres
        
                            2
                    
            Salle de Bain
        
                            3
                    
            Mètres carrés
        
                            250 m²","2","3","250 m²","Thiès
            
                Thiès","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/27f286dbd35f1610aa487e54d16c7d99/-/horizon-files-prod/ed/picture/q49prvz/09f22c907c07d961ab0f47297ff48c0744f6aae8.jpg"
"1738156551-2","https://www.expat-dakar.com/appartements-meubles?page=80","Appartement  meublés à louer à Front de terre
                                1 chambre30 m²
                                                                                    Zone de captage,
                                                                                Dakar
                                    
                                        22. nov. '24, 18:01
                                    
                    17 000 F Cfa
                        
                        776608043
                    
                        776796778","https://www.expat-dakar.com/annonce/appartement-meubles-a-louer-a-front-de-terre-3433740","Chambres
        
                            1
                    
            Salle de Bain
        
                            1
                    
            Mètres carrés
        
                            30 m²","1","1","30 m²","Zone de captage
            
                Dakar","17 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b35116656a05e03b0fb1cc27b9228208/-/horizon-files-prod/ed/picture/qdmm46w/47831d3e73a3c17e8e15539fa2976e70d8f99c7f.jpg"
"1738156553-3","https://www.expat-dakar.com/appartements-meubles?page=80","Studio meublé à louer au Front de terre
                                1 chambre26 m²
                                                                                    Zone de captage,
                                                                                Dakar
                                    
                                        17. nov. '24, 01:07
                                    
                    15 000 F Cfa
                        
                        776608043
                    
                        776796778","https://www.expat-dakar.com/annonce/studio-meuble-a-louer-au-front-de-terre-3502445","Chambres
        
                            1
                    
            Salle de Bain
        
                            1
                    
            Mètres carrés
        
                            26 m²","1","1","26 m²","Zone de captage
            
                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/66063ad93be0d889684915893ae37932/-/horizon-files-prod/ed/picture/q74kk98/2ad32e2aa6a0cf5d516421a9db63bbc889ab3a74.jpg"
"1738156556-4","https://www.expat-dakar.com/appartements-meubles?page=80","Joli 2 chambres salon cite keur gorgui vdn
                                2 chambre100 m²
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        lundi, 14:04
                                    
                    35 000 F Cfa
                        
                        779170639
                    
                        778893535","https://www.expat-dakar.com/annonce/joli-2-chambres-salon-cite-keur-gorgui-vdn-2726827","Chambres
        
                            2
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            100 m²","2","2","100 m²","Sacré-cœur
            
                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f8921f4f45ea986461fb8afb61a5f8b/-/horizon-files-prod/ed/picture/qnz8g4v/f799a7c41156eb707d7bf97d0dfc8aeb58f9afc9.jpg"
"1738156558-5","https://www.expat-dakar.com/appartements-meubles?page=80","Studio meublé à Louer Maristes
                                3 chambre
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        6. janv., 14:44
                                    
                    450 000 F Cfa
                        
                        784507474","https://www.expat-dakar.com/annonce/studio-meuble-a-louer-maristes-5785638","Chambres
        
                            3
                    
            Salle de Bain
        
                            3","3","3","","Hann maristes
            
                Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/41abca6b7dca4aa06aa0992279fefa92/-/horizon-files-prod/ed/picture/qpdw9neq/5d8d6a5a9c0bf365dd34ed4b7e43a7ccd17c418d.jpg"
"1738156560-6","https://www.expat-dakar.com/appartements-meubles?page=80","VIP
    
                                    Beau studio meublé a louer a Liberté 6
                                1 chambre
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        lundi, 13:05
                                    
                    22 500 F Cfa
                        
                        786050606","https://www.expat-dakar.com/annonce/beau-studio-meuble-a-louer-a-liberte-6-6266657","Chambres
        
                            1","1","","","Liberte 6
            
                Dakar","22 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2b866614e61160981e0969563c94ad1d/-/horizon-files-prod/ed/picture/qgqw607q/edb6a77615a55bc90d48765909b7c695ac2bb2e0.jpg"
"1738156566-7","https://www.expat-dakar.com/appartements-meubles?page=79","Chic et choc studio équipé
                                1 chambre47 m²
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        20. nov. '24, 01:34
                                    
                    17 000 F Cfa
                        
                        762432306
                    
                        762432306","https://www.expat-dakar.com/annonce/chic-et-choc-studio-equipe-5892449","Chambres
        
                            1
                    
            Salle de Bain
        
                            1
                    
            Mètres carrés
        
                            47 m²","1","1","47 m²","Sicap foire
            
                Dakar","17 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f2ae975ea6816a731137300c3f046ef/-/horizon-files-prod/ed/picture/qngxxj2k/d5927e25873589305fe905727e3c4c235ab05309.jpg"
"1738156568-8","https://www.expat-dakar.com/appartements-meubles?page=79","VILLAS MEUBLÉ À THIES
                                3 chambre500 m²
                                                                                    Thiès,
                                                                                Thiès
                                    
                                        vendredi, 16:15
                                    
                    60 000 F Cfa
                        
                        779811919
                    
                        338252230
                    
                        704500101","https://www.expat-dakar.com/annonce/villas-meuble-a-thies-5915691","Chambres
        
                            3
                    
            Salle de Bain
        
                            2
                    
            Mètres carrés
        
                            500 m²","3","2","500 m²","Thiès
            
                Thiès","60 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5316d7115918a0136c240d8a0fdad374/-/horizon-files-prod/ed/picture/q0gwk0zg/9924b1d226a7dbd8159a777fe123853513cec70d.jpg"
"1738156570-9","https://www.expat-dakar.com/appartements-meubles?page=79","APPARTEMENT F3 MEUBLÉ A LOUER
                                2 chambre
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        30. nov. '24, 20:36
                                    
                    55 000 F Cfa
                        
                        785477758
                    
                        785477758
                    
                        775548991","https://www.expat-dakar.com/annonce/appartement-f3-meuble-a-louer-5946334","Chambres
        
                            2
                    
            Salle de Bain
        
                            3","2","3","","Point-e
            
                Dakar","55 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/be87280a9993da9e62d1793c7def93fb/-eyJvciI6MTgwfQ%3D%3D/horizon-files-prod/ed/picture/qm5pjnez/b8fc3a854768c83627b17199935d1952417afee4.jpg"
"1738156573-10","https://www.expat-dakar.com/appartements-meubles?page=79","STUDIO MEUBLE GRAND STANDING A LOUER
                                1 chambre
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        10. déc. '24, 15:15
                                    
                    40 000 F Cfa
                        
                        785477758
                    
                        785477758
                    
                        775548991","https://www.expat-dakar.com/annonce/studio-meuble-grand-standing-a-louer-5895070","Chambres
        
                            1","1","","","Point-e
            
                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b99df4e248735da9dcb1b1a7512a67f5/-/horizon-files-prod/ed/picture/q9m992ev/99d8eda4b15de034d9f2d48c9216580248821d9f.jpg"
