nombre_chambre,superficie,adresse,prix,image_lien
1.0,0.0,Sacré-cœur                                                                                Dakar,275000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d84b1397dbea5f8cab9816fe62366c4d/-/horizon-files-prod/ed/picture/qrz8w885/4a1d74686b53a20215223e55de00c2b0e1e3fe0f.jpg
3.0,200.0,Almadies                                                                                Dakar,1100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c784f75bb8fd111d55609dd0d6a85c49/-/horizon-files-prod/ed/picture/q78w6nez/1a8b7ad4eb105122bdab139482aa1aabff95c3d0.jpg
3.0,1.0,Golf                                                                                Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dd9b8ac0f68f1fe987b2e5c9e9d84d82/-/horizon-files-prod/ed/picture/qde7g89g/325696e5c966c886374a5967678453969889695c.jpg
2.0,0.0,Mermoz                                                                                Dakar,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/02fc21cf63abf01734cc8713d50cf761/-/horizon-files-prod/ed/picture/q78w6d4n/f33b3bc99892ca362ccef51cfe8b52a0506d650e.jpg
1.0,0.0,Mamelles                                                                                Dakar,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8e2795e8866f4b37d42a8dd5d7024b01/-/horizon-files-prod/ed/picture/qgqw86n4/28266160d182faba8c0e76e340103191b16af6fc.jpg
3.0,0.0,Mermoz                                                                                Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2fa4b1fc73948a8527feeba5436fd92d/-/horizon-files-prod/ed/picture/q78wg6nx/6c421b7e0e2948d7e289eb00f9fdb86e3132de2d.jpg
3.0,0.0,Tivaouane peulh                                                                                Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7bc7ba4dc85ddfe4cd596eae0de430f0/-/horizon-files-prod/ed/picture/qngpeg2e/cab01b1585b321abfd08aac1f76c55c3e9af1bd2.jpg
0.0,0.0,Zac Mbao                                                                                Dakar,125000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fb0f37390b5e0c29516176174488a6a8/-/horizon-files-prod/ed/picture/q2j0x4r2/ee35f4b7596a8c5ca0391a6e5674ef129737b7ef.jpg
3.0,0.0,Fann                                                                                Dakar,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3898089ef1981605fbe8b0dc2b1c8932/-/horizon-files-prod/ed/picture/qde7pe22/874bd72bd67432682557a067231debfc0bb77cf1.jpg
0.0,0.0,Almadies                                                                                Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/46cae62665eebe030784d00dad0700c9/-/horizon-files-prod/ed/picture/qpd6wqx4/f7359378d3c6daa66d744f668bb83947397822e4.jpg
2.0,0.0,Plateau                                                                                Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3c6e4d7fd33601d51581e1d81dc87ace/-/horizon-files-prod/ed/picture/q8v4r65z/febf78e6fcc1a73c38c7de008657578e8e82f683.png
1.0,0.0,Sacré-cœur                                                                                Dakar,275000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d84b1397dbea5f8cab9816fe62366c4d/-/horizon-files-prod/ed/picture/qrz8w885/4a1d74686b53a20215223e55de00c2b0e1e3fe0f.jpg
3.0,100.0,Virage                                                                                Dakar,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d05598ea5c9f5a701fc8d28823bfc743/-/horizon-files-prod/ed/picture/qv4wxrzk/58a519dd81c7129c6ef8a47f73485e9db31e0510.jpg
3.0,225.0,Mermoz                                                                                Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b177789c093c3f94897aa600bf5ad75a/-/horizon-files-prod/ed/picture/q0g7zjej/9126f2fb968e22efe8a53b89685dee3f7eabd162.jpg
3.0,0.0,Mamelles                                                                                Dakar,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d7b6fafba933a4509bef6c72a5adbd0f/-/horizon-files-prod/ed/picture/qxjpee9w/9ae66927a14b3051523a58b24ea1070a03f247da.jpg
3.0,0.0,Almadies                                                                                Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/788e4aac40016b0c47a3a36bee5d66ec/-/horizon-files-prod/ed/picture/q56dkq87/dcd93278c5bdae39abce604d3ee4dd63c9839d93.jpg
3.0,0.0,Mamelles                                                                                Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/05aea332f6e0d7729726ea9c62fd1438/-/horizon-files-prod/ed/picture/qm5gvew6/b248ca849c63ea5508e028d8c4bfda9cc2939072.jpg
2.0,0.0,Mamelles                                                                                Dakar,330000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2dc74d438eeadc7297ff8b9477602cf4/-/horizon-files-prod/ed/picture/qpdm8044/d4fc0c94ddb102aedc551547cda69c4db4218f09.jpg
2.0,120.0,Mermoz                                                                                Dakar,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/53e1f68c03cfae2bfdbc5b2326d8ef81/-/horizon-files-prod/ed/picture/q44nvjqv/ab3e50738a84b19b1711d5ab88f1983e543d7246.jpg
3.0,0.0,Zac Mbao                                                                                Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a0ccf2b255e3c8202163cc8b5700c7c8/-/horizon-files-prod/ed/picture/q8v48vdp/fbe7df995542188b532efa5e2e447b0ca01f2912.jpg
2.0,150.0,Virage                                                                                Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7067c05d51d05a0d335bceac72ecfd61/-/horizon-files-prod/ed/picture/qrz8x6zg/2deddcfb8e7f1215e273f5dbf88e7e6606d4abdc.jpg
3.0,0.0,Mamelles                                                                                Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cf32afd3075f9df23bd1c72a1d8a8670/-/horizon-files-prod/ed/picture/qngpwe7g/5885b9713ec02e8a1d6bb39917086d6d194c5c39.jpg
