Détails,Tags,Adresse,Prix,Image
DUPLEX AVEC VUE SUR MER À LOUER SUR NGOR,290 m²,"Almadies,
                                                                                Dakar",1 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1ae73ba5507e6d11935faa16313ccca1/-/horizon-files-prod/ed/picture/q2j0v0qk/d1006b20aceeecc9b8b8f6d88dc6be0c55ae3849.jpg
Studios à louer à la cité Dubaï,1 chambre,"Almadies 2,
                                                                                Dakar",150 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c86e000363e89a64e8ecf8cedd200a3/-/horizon-files-prod/ed/picture/qwep72r6/01f3e799c8efc0e30009adde26e9de1545cefbea.jpg
BEL APPARTEMENT DE 04 CHAMRES AU POINT E,4 chambre285 m²,"Point-e,
                                                                                Dakar",2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1c86f3a159e15fdcfdd1544b12d54cbe/-/horizon-files-prod/ed/picture/q9mjrdpx/419f5baf85f1123bd56dfa0644bc9e81fc0b6b4a.jpg
BEL APPARTEMENT 02 CHAMBRES AU POINT E,2 chambre260 m²,"Point-e,
                                                                                Dakar",1 100 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d978f659c8a4332db49536628ee42ee/-/horizon-files-prod/ed/picture/qngp8kx0/ff92836a1977494c5a1f2656995cfb8a730a614b.jpg
MAGNIFIQUE APPARTEMENT 03 AU POINT E,3 chambre282 m²,"Point-e,
                                                                                Dakar",1 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ccbef66d62d2c1044e78c92d5d1f73c7/-/horizon-files-prod/ed/picture/qzvpwqdv/58834e6634ade5b253171c59949f7fa8d8119454.jpg
DUPLEX DE 4 CHAMBRES A FANN RÉSIDENCE,4 chambre,"Fann,
                                                                                Dakar",2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/19dcdecfbacdee86c9101657ff52c0ae/-/horizon-files-prod/ed/picture/qq42e79e/28011cdcd13d23f5b5e1475a4ce698dadd2a3855.jpg
Appartement de 3 chambres,3 chambre,"Hann maristes,
                                                                                Dakar",350 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8af37f8c79343f1b9fa9acb43d8fec2b/-/horizon-files-prod/ed/picture/qde7pk00/7e4c8d9cbcfbe754c5eb7b8d7cdab9f1479952ff.jpg
GRAND APPARTEMENT TRÈS LUMINEUX À LOUER À SACRÉ-COEUR 1,3 chambre200 m²,"Sacré-cœur,
                                                                                Dakar",N/A,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c97e1691d225da63a372a4e0684bec79/-/horizon-files-prod/ed/picture/qenv2e6k/eb3e77f295f5af4e1d034d51b5fbc7e6b92a0fba.jpg
Trois chambres à louer avec les meubles,3 chambre,"Almadies,
                                                                                Dakar",850 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/24985ce4f234d1fa2c1ac73208183aa2/-/horizon-files-prod/ed/picture/q6xd9kqz/c6204f33517f08a9b9b5f5b75e2eed89a59ca5da.jpg
Belle villa  Mermoz (non loin de l'IAM),4 chambre,"Mermoz,
                                                                                Dakar",1 200 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d27f11ee27bf3906a588272041271f44/-/horizon-files-prod/ed/picture/qzvp0v5k/525c83b16e38ec7e0d22a351ddc7247a074a75b8.jpg
Studio aux HLM (non loin du TER),1 chambre,"Hlm,
                                                                                Dakar",215 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1e0a1cce49637c8bea60d2af4a5089f6/-/horizon-files-prod/ed/picture/qj4q0458/52acfdfaeb5cee31dfc15177b89579725be57c55.jpg
