nombre_chambre,superficie,adresse,prix,image_lien
1.0,0.0,Almadies                                                                                Dakar,22500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c0d73181e1db186261bd07270b819f40/-/horizon-files-prod/ed/picture/q0gwq7rz/ddf6e4981184e00116ebe7ada43dbc12b0f292ba.jpg
0.0,0.0,Dieuppeul                                                                                Dakar,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2e2c997e157520eb2c403f55b575d675/-/horizon-files-prod/ed/picture/qgqweqjr/8a8417ab8ce54e8feb099c24f10a5dbb6e319c68.jpg
3.0,150.0,Ngor                                                                                Dakar,60000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/87a18b63f6cb2fcd833b154ce22da075/-/horizon-files-prod/ed/picture/qenvk4m6/144beaeb71ea2f2734028542a90439e7c24b3249.jpg
2.0,0.0,Mamelles                                                                                Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/293c70957727749304b0bdb848266981/-/horizon-files-prod/ed/picture/qngpegn0/5493d5dabf9a8076d0935a3741b39dc562847242.jpg
0.0,0.0,Cite Mixta                                                                                Dakar,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c0f0f589b784bc7e6fc1b22cf0033651/-/horizon-files-prod/ed/picture/qj4jkn8z/104bb816f088bb57c3514587f0000d20ce458628.jpg
1.0,0.0,Ngor                                                                                Dakar,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9a2d3002cb364197d4517b065b3042e2/-/horizon-files-prod/ed/picture/qk9vemm/cbbacec9df5d68c3bede7dead497969c1f0773a0.jpg
3.0,0.0,Plateau                                                                                Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9cf9598f405826cfef158a98f98fa458/-/horizon-files-prod/ed/picture/qzvp9ve6/7d8b6da661dd68256651ae6d56a6c8df8a502cdd.jpg
1.0,0.0,Ngor                                                                                Dakar,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2a2fb42c93ba08b9c12f4bbae921bd49/-/horizon-files-prod/ed/picture/q56dkejx/1b17d835d310b35f8a9b4618d8cec66789120cda.jpg
1.0,60.0,Liberte 6                                                                                Dakar,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b22fb968b1194c51615ad9db445c4171/-/horizon-files-prod/ed/picture/qenv8xq9/b64044ef2987a5d50ff83f4a926d416c821a538b.jpg
1.0,25.0,Ouest foire                                                                                Dakar,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/874de9fe3e522cf5cc5ec99bfc0f6f77/-/horizon-files-prod/ed/picture/qk9mx6v/05b0fc6e1b8ba63bcb57c36fbf9307f8075119b2.jpg
2.0,60.0,Yoff                                                                                Dakar,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cc47628f72329a72d08c9a30b6d9548b/-/horizon-files-prod/ed/picture/q2957zv/87a00fe220378e4731bc4f665d1b658b11442287.jpg
1.0,0.0,Almadies                                                                                Dakar,22500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c0d73181e1db186261bd07270b819f40/-/horizon-files-prod/ed/picture/q0gwq7rz/ddf6e4981184e00116ebe7ada43dbc12b0f292ba.jpg
3.0,148.0,Sicap Sacré-cœur                                                                                Dakar,75000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/07039cba6fd4392c9f3dfa36f4afb0ac/-/horizon-files-prod/ed/picture/q78w824n/268df767b59f7160a518b3a4a8b60d3861341888.jpg
0.0,53.0,Almadies                                                                                Dakar,37500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a6c7b54ae36146d3a1395f25ad34793f/-/horizon-files-prod/ed/picture/qzvp0d4v/a917b66ad9ae05bcd2ed11efae18c29888bfa734.jpg
2.0,150.0,VDN                                                                                Dakar,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a13df741428ffffd3fbe8225a87fb611/-/horizon-files-prod/ed/picture/q0gwzzpj/449e84c2f8e37fefa3dc35ce30cab2092d50d3cf.jpg
3.0,0.0,Plateau                                                                                Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a75e9faac7366d537bcbb93bf3d44041/-/horizon-files-prod/ed/picture/qkr8emqm/79c00e61536bfd54dc07301cd9e72da610527274.jpg
1.0,0.0,Almadies                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9a1a88b83584e0ac59b87ed9fa17682a/-/horizon-files-prod/ed/picture/qwep9q5d/3c8e02948340a6683b4e56159c73b14ea44be2d2.jpg
1.0,80.0,Zac Mbao                                                                                Dakar,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/087a7133324a22ed9e3fdc7539b14e8a/-/horizon-files-prod/ed/picture/q9mjq0q8/14230b8318ee2bcef735bde2fd249f24e7105acf.jpg
0.0,0.0,Zac Mbao                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3f191a0ce7c824e6939f5be4605def88/-/horizon-files-prod/ed/picture/q6xdmgd8/4299e8c2e0d7de9e6b999d2ec5bda51fce939adf.jpg
2.0,80.0,Mamelles                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fcc965e5bb0561537f3cb454cfab0f1e/-/horizon-files-prod/ed/picture/q6xk9wgn/ed91913d6ee02bbc34015510e514e6f4a0294bc5.jpg
2.0,75.0,Sacré-cœur                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e058a722e4926c356eb36b58878ea390/-/horizon-files-prod/ed/picture/q78w472g/1ae1261aaf5acf1cef250d8481eb8071b788fb76.jpg
0.0,0.0,Virage                                                                                Dakar,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3a7961118fd564010bb33777450d6601/-/horizon-files-prod/ed/picture/q8vv7kwx/1a025a3f267b92ce75cdbc8919232de628c69769.jpg
2.0,0.0,Ouest foire                                                                                Dakar,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/476e0bd87b89121b99642585058dfa4e/-/horizon-files-prod/ed/picture/qzvpqn9k/4c40d8c9c10762e726bfb9270bac828f0c8680dd.jpg
1.0,70.0,Mermoz                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b078081e601d47adc870cb92ae10ae74/-/horizon-files-prod/ed/picture/q22j52v/fd71de97e857cd694122963bbe53f4cc4f67b310.jpg
1.0,30.0,Dieuppeul                                                                                Dakar,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aa3fe1516192157fa3cd4583e4736293/-/horizon-files-prod/ed/picture/qgqwzv5n/46189fd2fbc675f0ec3ce6a7af2944f7158c736a.jpg
0.0,0.0,Yoff                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c69b3a3181f197332964c9f08afacdf/-/horizon-files-prod/ed/picture/migrated/qrn6jxq/42ef21b74f952176d61443cade5ba21ea6d1d352.jpg
