Détails,Tags,Adresse,Prix,Image
Appartement F2 meublé à louer aux Almadies (Philip Morris),1 chambre64 m²,"Almadies,
                                                                                Dakar",40 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c7f0629c8fff6cec8dcd4fc72108ceb5/-/horizon-files-prod/ed/picture/qdvkqz2/c400e25cc4367629492d46a828034b0c5bd1ab47.jpg
Penthouse haut standing à Maristes,,"Hann maristes,
                                                                                Dakar",75 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6645ee324410cc12c3ea6ca19a7b8d4d/-/horizon-files-prod/ed/picture/qgqw2zq8/6c5cf0f7ac72f91269b460e9554f5d0a21a13b4b.jpg
Appartement meublé haut standing aux Maristes,2 chambre,"Hann maristes,
                                                                                Dakar",45 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3093625cdd1717c2c804380f61a4c077/-/horizon-files-prod/ed/picture/qxjp4xjw/ff74ec6af2a68fdeb2816619f7c343f23f35720e.jpg
Appartement meublé à louer à Liberté 6 extension,2 chambre,"Sicap Liberté,
                                                                                Dakar",25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7c99f1d807728d981efabb89c32020fe/-/horizon-files-prod/ed/picture/migrated/q595nze/589d375ce01ca063986cdf8338517c6211e3606a.jpg
Appartement meublé aux Almadies,,"Almadies,
                                                                                Dakar",57 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fcfb29d4c3541074a170af1476e28644/-/horizon-files-prod/ed/picture/qwepqwxm/e8e2ef70adc145bc18dbdd5dd6544e955b220d70.jpg
F3 Meublé à louer,2 chambre70 m²,"Plateau,
                                                                                Dakar",35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/af6b240b45985e164f12c46532f8e960/-/horizon-files-prod/ed/picture/q2j0pgwp/19a29366e38b21f00c296a0f87c9f47ad2d02f66.jpg
Appartement meublé à louer à Ouest Foire,,"Ouest foire,
                                                                                Dakar",60 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac8e9446631e788fdcb320c2c406ac8f/-/horizon-files-prod/ed/picture/qj4qv6nd/c6bee6bdb0a23a25ad1659905121a6fe1a098271.jpg
Appartement meublé à louer à Ouest Foire,,"Ouest foire,
                                                                                Dakar",50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/de392ed9d4f5b41ef5abad19217404d5/-/horizon-files-prod/ed/picture/q2j0pk4v/0ae2ac53f2043e993750d1c063966a968a158698.jpg
Studio meublé à louer à Ouest Foire,,"Ouest foire,
                                                                                Dakar",30 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/53a9d5fd481ddb8c44af6e51dd851ef6/-/horizon-files-prod/ed/picture/qenvgr64/6936f99e0d886699a1040587bad2033707d09655.jpg
Chambre meublée à Ouest foire,1 chambre25 m²,"Ouest foire,
                                                                                Dakar",15 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/874de9fe3e522cf5cc5ec99bfc0f6f77/-/horizon-files-prod/ed/picture/qk9mx6v/05b0fc6e1b8ba63bcb57c36fbf9307f8075119b2.jpg
