Détails,Tags,Adresse,Prix,Image
MAKARIM,3 chambre177 m²,"Virage,
                                                                                Dakar",1 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bd9bb44a5346c5655e94e047cc70535e/-/horizon-files-prod/ed/picture/qxjpvg8n/fc152db8d9d728d1a65a436c09a3bc34f9833bc5.png
Bels appartements neufs à louer au Virage,4 chambre,"Virage,
                                                                                Dakar",1 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/68df02c8947dd3a6e98090722d3360ac/-/horizon-files-prod/ed/picture/q8v4eqxx/5e64df2dafdaa0514bed6b5ab37d10dd246ab2ed.jpg
Appartements à louer aux Almadies/ MÉRIDIEN,4 chambre,"Almadies,
                                                                                Dakar",2 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/701d6c89c1a8eec90a51493ae76837e5/-/horizon-files-prod/ed/picture/q44nzz04/d8b5104e8433eee4d4a2b126e90d7efd22456323.jpg
Appartement neuf F4 à louer à Ngor Almadies,3 chambre182 m²,"Ngor,
                                                                                Dakar",900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/329dbe7db017a45f85948beecb50b334/-/horizon-files-prod/ed/picture/qm5gzwjz/7c0d1c37e57fe524e6a62c0dc4f0e2d539c4e8d4.jpg
Plateau corniche cap manuel appartement à louer,3 chambre250 m²,"Plateau,
                                                                                Dakar",2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fc9c2557f1084ab4feb232741e5e7062/-/horizon-files-prod/ed/picture/q2j0497v/98e0609f4d47e0aca3933633b3069dded1405497.jpg
STUDIO CITÉ IMPOT ET DOMAINE,1 chambre,"Patte d‘oie,
                                                                                Dakar",225 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2eb11d450962639215ba3566ca1c40ee/-/horizon-files-prod/ed/picture/q0g7m5wm/5f8258d809af7dbfac90af38ec20447f903f2f69.jpg
03 chambres à louer aux maristes,3 chambre225 m²,"Hann maristes,
                                                                                Dakar",450 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ae5a21b2db6f6090cf7631790001fb7b/-/horizon-files-prod/ed/picture/qrz8d7w8/a89dc9e23b7352591ee2a0e803d5fa029dfe8c76.jpg
Bel appartement aux mamelles,3 chambre130 m²,"Mamelles,
                                                                                Dakar",600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c949084cc70fbffaba3b40c72d8e7957/-/horizon-files-prod/ed/picture/qpdmrx4p/8fa62db2ff0d3f358f5c094c983a405055d0d7c0.jpg
Spacieux appartement à sacré coeur,5 chambre150 m²,"Sacré-cœur,
                                                                                Dakar",500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d1bf3707449bb25dafbae0b678c4b660/-/horizon-files-prod/ed/picture/qrz8dnzg/54c054cd8438d339bfbbeb1b23d6763187e8dca7.jpg
Superbe appartement de type F3 à louer à Mermoz,2 chambre,"Mermoz,
                                                                                Dakar",600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1c2793c11febcdf61239e6c23056a8d4/-/horizon-files-prod/ed/picture/qgqw44vr/a04d3d46402646d400c0ce85510750dfcd989b4b.jpg
Ouakam- Appartement à louer  - Résidence Noella,2 chambre239 m²,"Ouakam,
                                                                                Dakar",1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/738f0a2e520912c57b1eff71785244fe/-/horizon-files-prod/ed/picture/q56d4d4g/c4a13e0c49004027ae13ccd1d913522701500c0b.jpg
Appartement très lumineux à louer à Mermoz,3 chambre,"Mermoz,
                                                                                Dakar",1 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/abc353387be1050d916506c2bc163a6e/-/horizon-files-prod/ed/picture/q2j0pgdp/097baf3cdef3618efd7e2d6e4ecf190e44017bb1.jpg
Appartement a louer corniche plateau,3 chambre250 m²,"Plateau,
                                                                                Dakar",2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/094c2cdc350c8c9042a7071ab22aae41/-/horizon-files-prod/ed/picture/q78wpgpd/6d47833c380bd955fbc071fc9f1fb2116015e318.jpg
